time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.498755,-0.879737981852,-0.325587422229,0.110446616728,1.04617489734,-0.148796136425,0.837553510185,-0.13805827091,100.0,0.109679626334,-0.909650607216,-0.386563158547,2.4938692659,-1.88794685469,-0.213223329516,1.86455364767,95.744682312
0.498814,-0.879737981852,-0.325587422229,0.110446616728,1.04617489734,-0.148796136425,0.837553510185,-0.13805827091,100.0,0.109679626334,-0.909650607216,-0.386563158547,2.4938692659,-1.88794685469,-0.213223329516,1.86455364767,95.744682312
0.508877,-0.880121477049,-0.325970917426,0.110063121531,1.04694188773,-0.148796136425,0.837170014988,-0.138825261304,100.0,0.109296131137,-0.909650607216,-0.387330148941,2.4938692659,-1.88756335949,-0.213223329516,1.86532063807,95.744682312
0.518890,-0.880504972246,-0.327121403017,0.110830111925,1.04617489734,-0.148796136425,0.837170014988,-0.138825261304,100.0,0.109679626334,-0.909267112019,-0.385796168153,2.4946362563,-1.88756335949,-0.213223329516,1.86532063807,95.744682312
0.528911,-0.880504972246,-0.32673790782,0.110063121531,1.04617489734,-0.149179631622,0.837553510185,-0.138825261304,100.0,0.10891263594,-0.910034102413,-0.385796168153,2.4938692659,-1.88756335949,-0.213223329516,1.86532063807,95.744682312
0.538960,-0.879737981852,-0.325970917426,0.110446616728,1.04617489734,-0.148796136425,0.837170014988,-0.139208756501,100.0,0.109679626334,-0.908883616822,-0.38617966335,2.4942527611,-1.88756335949,-0.213223329516,1.86570413327,95.744682312
0.548903,-0.879354486655,-0.326354412623,0.110063121531,1.04655839253,-0.148412641228,0.837553510185,-0.138441766107,100.0,0.109296131137,-0.908883616822,-0.38617966335,2.4942527611,-1.8871798643,-0.214373815107,1.86455364767,95.744682312
0.558901,-0.880504972246,-0.32673790782,0.110830111925,1.04617489734,-0.148796136425,0.837553510185,-0.138441766107,100.0,0.10891263594,-0.910034102413,-0.386563158547,2.4942527611,-1.88756335949,-0.213223329516,1.86493714287,95.744682312
0.568882,-0.880504972246,-0.32673790782,0.110446616728,1.04655839253,-0.149179631622,0.837170014988,-0.138825261304,100.0,0.109296131137,-0.910034102413,-0.38617966335,2.4950197515,-1.8871798643,-0.212839834319,1.86570413327,95.744682312
0.578879,-0.880121477049,-0.325970917426,0.110446616728,1.04655839253,-0.149179631622,0.836786519791,-0.138825261304,100.0,0.10891263594,-0.910034102413,-0.385796168153,2.4946362563,-1.88756335949,-0.213223329516,1.86532063807,95.744682312
0.588884,-0.880121477049,-0.325970917426,0.110446616728,1.04655839253,-0.149179631622,0.837553510185,-0.139592251698,100.0,0.109296131137,-0.909267112019,-0.38617966335,2.4942527611,-1.88756335949,-0.212839834319,1.86570413327,95.744682312
0.598885,-0.880888467443,-0.325970917426,0.110446616728,1.04617489734,-0.149179631622,0.836786519791,-0.139208756501,100.0,0.109296131137,-0.909650607216,-0.385796168153,2.4942527611,-1.8871798643,-0.212839834319,1.86532063807,95.744682312
0.608881,-0.88127196264,-0.326354412623,0.110446616728,1.04579140214,-0.149563126819,0.837170014988,-0.139592251698,100.0,0.10891263594,-0.909267112019,-0.386563158547,2.4950197515,-1.8871798643,-0.213606824713,1.86532063807,95.744682312
0.618886,-0.880504972246,-0.325587422229,0.110830111925,1.04502441175,-0.149179631622,0.837170014988,-0.138825261304,100.0,0.109296131137,-0.909650607216,-0.38617966335,2.4942527611,-1.88794685469,-0.213223329516,1.86532063807,95.744682312
0.628879,-0.880504972246,-0.325587422229,0.109679626334,1.04464091655,-0.149563126819,0.837170014988,-0.138825261304,100.0,0.109679626334,-0.909650607216,-0.386563158547,2.4938692659,-1.88794685469,-0.212839834319,1.86532063807,95.744682312
0.638893,-0.880504972246,-0.326354412623,0.110446616728,1.04425742135,-0.149563126819,0.836403024595,-0.138825261304,100.0,0.109296131137,-0.909650607216,-0.386563158547,2.4938692659,-1.8871798643,-0.213223329516,1.86570413327,95.744682312
0.648895,-0.880121477049,-0.325203927032,0.110063121531,1.04387392616,-0.148796136425,0.837553510185,-0.138441766107,100.0,0.109296131137,-0.91041759761,-0.387330148941,2.4946362563,-1.8871798643,-0.213606824713,1.86570413327,95.744682312
