time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.550316,-0.526155410245,-0.49125734732,0.00997087512126,1.47453903235,0.00651941834851,0.537660266154,0.174490314622,100.0,0.10891263594,-0.910801092807,-0.38617966335,2.4946362563,-1.8871798643,-0.212839834319,1.86493714287,95.744682312
0.550379,-0.526155410245,-0.49125734732,0.00997087512126,1.47453903235,0.00651941834851,0.537660266154,0.174490314622,100.0,0.10891263594,-0.910801092807,-0.38617966335,2.4946362563,-1.8871798643,-0.212839834319,1.86493714287,95.744682312
0.560457,-0.526538905442,-0.490490356926,0.00997087512126,1.47492252755,0.00575242795457,0.53689327576,0.173723324228,100.0,0.10891263594,-0.91041759761,-0.386946653744,2.4946362563,-1.8871798643,-0.213223329516,1.86570413327,95.744682312
0.570455,-0.526538905442,-0.490490356926,0.00997087512126,1.47568951795,0.0053689327576,0.53689327576,0.173723324228,100.0,0.10891263594,-0.91041759761,-0.386563158547,2.4942527611,-1.88756335949,-0.213606824713,1.86532063807,95.744682312
0.580468,-0.526155410245,-0.490873852123,0.00920388472731,1.47607301314,0.00651941834851,0.537276770957,0.174106819425,100.0,0.10891263594,-0.91041759761,-0.38617966335,2.4946362563,-1.8871798643,-0.213606824713,1.86570413327,95.744682312
0.590449,-0.526538905442,-0.490490356926,0.00958737992428,1.47492252755,0.00651941834851,0.538043761351,0.174106819425,100.0,0.10891263594,-0.91041759761,-0.38617966335,2.4942527611,-1.88794685469,-0.212839834319,1.86455364767,95.744682312
0.600443,-0.525771915048,-0.490873852123,0.00997087512126,1.47530602275,0.00575242795457,0.53689327576,0.175257305016,100.0,0.10891263594,-0.911184588004,-0.385796168153,2.4942527611,-1.88756335949,-0.213223329516,1.86532063807,95.744682312
0.610457,-0.526538905442,-0.490490356926,0.0103543703182,1.47492252755,0.00613592315154,0.537660266154,0.174106819425,100.0,0.108529140743,-0.910034102413,-0.386563158547,2.4946362563,-1.88794685469,-0.212839834319,1.86570413327,95.744682312
0.620467,-0.525388419851,-0.490873852123,0.00958737992428,1.47568951795,0.00575242795457,0.537660266154,0.174490314622,100.0,0.10891263594,-0.910801092807,-0.386946653744,2.4942527611,-1.88756335949,-0.213223329516,1.86570413327,95.744682312
0.630446,-0.526155410245,-0.49125734732,0.0103543703182,1.47530602275,0.00613592315154,0.537660266154,0.174490314622,100.0,0.109296131137,-0.910034102413,-0.38617966335,2.4942527611,-1.88756335949,-0.213223329516,1.86570413327,95.744682312
0.640445,-0.526155410245,-0.490873852123,0.0103543703182,1.47453903235,0.00613592315154,0.537660266154,0.174106819425,100.0,0.108529140743,-0.910801092807,-0.385796168153,2.4946362563,-1.8871798643,-0.212456339122,1.86493714287,95.744682312
0.650445,-0.526538905442,-0.49125734732,0.00958737992428,1.47453903235,0.00651941834851,0.537660266154,0.173723324228,100.0,0.10891263594,-0.91041759761,-0.38617966335,2.4946362563,-1.88794685469,-0.213223329516,1.86608762846,95.744682312
0.660463,-0.526155410245,-0.490490356926,0.00997087512126,1.47492252755,0.00651941834851,0.537660266154,0.174106819425,100.0,0.108529140743,-0.91041759761,-0.38617966335,2.4946362563,-1.88756335949,-0.212839834319,1.86493714287,95.744682312
0.670473,-0.525771915048,-0.490873852123,0.0103543703182,1.47415553716,0.00613592315154,0.538043761351,0.174490314622,100.0,0.108145645546,-0.91041759761,-0.38617966335,2.4942527611,-1.88756335949,-0.213223329516,1.86493714287,95.744682312
0.680463,-0.526155410245,-0.490490356926,0.00958737992428,1.47453903235,0.00575242795457,0.537660266154,0.174490314622,100.0,0.108529140743,-0.91041759761,-0.386946653744,2.4942527611,-1.88756335949,-0.213606824713,1.86570413327,95.744682312
0.690463,-0.526538905442,-0.490873852123,0.0103543703182,1.47453903235,0.00651941834851,0.537276770957,0.173723324228,100.0,0.10891263594,-0.91041759761,-0.38617966335,2.4942527611,-1.88756335949,-0.213223329516,1.86493714287,95.744682312
0.700458,-0.525388419851,-0.490490356926,0.0103543703182,1.47492252755,0.00613592315154,0.537276770957,0.174106819425,100.0,0.109296131137,-0.910034102413,-0.386946653744,2.4946362563,-1.88756335949,-0.213606824713,1.86532063807,95.744682312
0.710465,-0.525771915048,-0.490873852123,0.00958737992428,1.47492252755,0.00651941834851,0.53689327576,0.173723324228,100.0,0.108529140743,-0.91041759761,-0.386563158547,2.4946362563,-1.88756335949,-0.21399031991,1.86532063807,95.744682312
0.720468,-0.525388419851,-0.490490356926,0.00997087512126,1.47530602275,0.00613592315154,0.537276770957,0.174106819425,100.0,0.108529140743,-0.911184588004,-0.385796168153,2.4938692659,-1.88756335949,-0.213606824713,1.86493714287,95.744682312
0.730454,-0.526155410245,-0.490873852123,0.00997087512126,1.47492252755,0.00575242795457,0.538043761351,0.174106819425,100.0,0.108529140743,-0.910801092807,-0.386563158547,2.4942527611,-1.8871798643,-0.212839834319,1.86532063807,95.744682312
0.740446,-0.525388419851,-0.490873852123,0.0103543703182,1.47530602275,0.00613592315154,0.537660266154,0.174873809819,100.0,0.108145645546,-0.910801092807,-0.386946653744,2.4946362563,-1.88794685469,-0.213223329516,1.86570413327,95.744682312
0.750457,-0.525771915048,-0.490490356926,0.00997087512126,1.47530602275,0.00613592315154,0.537276770957,0.174490314622,100.0,0.10891263594,-0.910034102413,-0.386946653744,2.4946362563,-1.88756335949,-0.213223329516,1.86532063807,95.744682312
