time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.542238,-0.0648106882882,-0.594417555306,-0.246203916456,1.80933033931,0.602087459245,-0.852509822867,-0.0517718515911,100.0,0.221276728652,-0.151864098001,0.0283786445759,1.74950508858,0.093572828061,-0.15071361241,-0.0356650533183,0.0
0.542299,-0.0648106882882,-0.594417555306,-0.246203916456,1.80933033931,0.602087459245,-0.852509822867,-0.0517718515911,100.0,0.221276728652,-0.151864098001,0.0283786445759,1.74950508858,0.093572828061,-0.15071361241,-0.0356650533183,0.0
0.552377,-0.0644271930912,-0.593650564912,-0.246203916456,1.80933033931,0.602854449639,-0.853276813261,-0.0521553467881,100.0,0.221276728652,-0.15071361241,0.0291456349698,1.74912159339,0.093189332864,-0.150330117213,-0.0356650533183,0.0
0.562401,-0.0636602026972,-0.5951845457,-0.245820421259,1.80856334892,0.602087459245,-0.852893318064,-0.0517718515911,100.0,0.220893233455,-0.150330117213,0.0291456349698,1.74950508858,0.0928058376671,-0.149946622016,-0.0345145677274,0.0
0.572426,-0.0648106882882,-0.594417555306,-0.245436926062,1.80856334892,0.601703964048,-0.853276813261,-0.0517718515911,100.0,0.220893233455,-0.15071361241,0.0283786445759,1.74988858378,0.093189332864,-0.149946622016,-0.0348980629244,0.0
0.582376,-0.0640436978942,-0.594417555306,-0.245820421259,1.80894684411,0.601320468851,-0.852893318064,-0.0517718515911,100.0,0.221660223849,-0.149563126819,0.0287621397729,1.74912159339,0.0928058376671,-0.149946622016,-0.0348980629244,0.0
0.592382,-0.0640436978942,-0.594801050503,-0.245436926062,1.80933033931,0.602470954442,-0.852893318064,-0.0517718515911,100.0,0.220893233455,-0.150330117213,0.0287621397729,1.74912159339,0.0928058376671,-0.149946622016,-0.0345145677274,0.0
0.602379,-0.0640436978942,-0.594417555306,-0.245436926062,1.80856334892,0.601703964048,-0.853660308458,-0.0517718515911,100.0,0.221276728652,-0.150330117213,0.0291456349698,1.74912159339,0.0924223424701,-0.150330117213,-0.0348980629244,0.0
0.612380,-0.0644271930912,-0.594801050503,-0.245436926062,1.80894684411,0.601703964048,-0.852893318064,-0.0521553467881,100.0,0.220893233455,-0.149563126819,0.0291456349698,1.74835460299,0.093189332864,-0.149946622016,-0.0341310725305,0.0
0.622379,-0.0648106882882,-0.594417555306,-0.245820421259,1.80933033931,0.602087459245,-0.852893318064,-0.0513883563942,100.0,0.221276728652,-0.151097107607,0.0287621397729,1.74988858378,0.093189332864,-0.149946622016,-0.0348980629244,0.0
0.632383,-0.0640436978942,-0.594417555306,-0.245820421259,1.80971383451,0.600936973654,-0.85212632767,-0.0513883563942,100.0,0.220893233455,-0.149563126819,0.0283786445759,1.74988858378,0.093189332864,-0.149946622016,-0.0352815581214,0.0
0.642384,-0.0640436978942,-0.594801050503,-0.245820421259,1.80971383451,0.600936973654,-0.852509822867,-0.0517718515911,100.0,0.221276728652,-0.150330117213,0.0291456349698,1.74912159339,0.093189332864,-0.149946622016,-0.0345145677274,0.0
0.652362,-0.0640436978942,-0.5951845457,-0.246203916456,1.80971383451,0.601703964048,-0.852893318064,-0.0513883563942,100.0,0.221276728652,-0.151097107607,0.0287621397729,1.74950508858,0.0916553520762,-0.149946622016,-0.0341310725305,0.0
0.662361,-0.0644271930912,-0.5951845457,-0.246203916456,1.80971383451,0.600936973654,-0.852893318064,-0.0517718515911,100.0,0.220893233455,-0.15071361241,0.0287621397729,1.74988858378,0.093189332864,-0.150330117213,-0.0348980629244,0.0
0.672360,-0.0640436978942,-0.594801050503,-0.245436926062,1.8100973297,0.601703964048,-0.85212632767,-0.0525388419851,100.0,0.220893233455,-0.15071361241,0.0291456349698,1.74835460299,0.0928058376671,-0.149946622016,-0.0352815581214,0.0
